,Question,Answer
0,Bằng cấp của TS. Trương Công Đoàn là gì?,"Bằng cấp của TS. Trương Công Đoàn bao gồm Cử nhân Toán tin ứng dụng từ Đại học Khoa học tự nhiên – ĐHQG Hà Nội, Thạc sĩ Khoa học máy tính từ Học viện Kỹ thuật quân sự, Hà Nội, Việt Nam, và Tiến sĩ Kỹ thuật máy tính từ Đại học Ulsan, Ulsan, Hàn Quốc."
1,Cơ hội của nghiên cứu sinh sau khi tốt nghiệp Chương trình Tiến sĩ Tin học và kĩ thuật máy tính ?,"Cơ hội của nghiên cứu sinh sau khi tốt nghiệp Chương trình Tiến sĩ Tin học và Kĩ thuật máy tính bao gồm việc giảng dạy tại các trường đại học, làm giáo viên tại các cơ sở giáo dục trong lĩnh vực này, làm nghiên cứu viên tại các viện nghiên cứu hoặc bộ phận nghiên cứu và phát triển của công ty, trở thành chuyên gia trong các lĩnh vực như công nghệ, điện gia dụng, nhà thông minh, mạch điều khiển trong công nghiệp, vi mạch, chip, và nhiều hơn nữa. Ngoài ra, họ cũng có cơ hội làm nghiên cứu sinh sau tiến sĩ (PostDoc) tại các trường đại học trong nước và nước ngoài, tự nghiên cứu và phát triển trong môi trường học thuật, và chủ trì, tham gia các đề tài, dự án nghiên cứu tầm quốc gia và quốc tế."
2,"
Mức học bổng Tài năng Công nghệ và Ngôn ngữ là bao nhiêu?",Mức học bổng là miễn giảm 100% học phí học kì đầu tiên.
3,Một số đề tài và dự án của PGS. TS. Trần Thị Oanh là gì?,"Một số đề tài và dự án của PGS. TS. Trần Thị Oanh bao gồm:

1. Chủ nhiệm đề tài cấp cơ sở 2015, ""Nhận diện paraphrase trong các văn bản tiếng Việt""
2. Chủ nhiệm đề tài cấp ĐHQG Hà Nội 2019-2020, ""Nghiên cứu và phát triển hệ thống trả lời tự động về ĐHQG Hà Nội""
3. Chủ nhiệm đề tài cấp cơ sở 2021, ""Nghiên cứu và phát triển các mô hình huấn luyện trước và ứng dụng cải tiến các bài toán xử lý ngôn ngữ tự nhiên"""
4,Chương trình Tiến sĩ Kinh tế và Quản lí tuyển sinh bằng hình thức nào,Chương trình Tiến sĩ Kinh tế và Quản lý tuyển sinh bằng hình thức xét tuyển thông qua đánh giá hồ sơ chuyên môn theo quy định của Đại học Quốc gia Hà Nội.
5,"Tôi muốn nghiên cứu về lĩnh vực quản trị kinh doanh và công nghệ, tôi nên đăng ký giảng viên hướng dẫn là ai?","Theo ngữ cảnh đã cho, bạn nên đăng ký với giảng viên hướng dẫn Cô Bùi Mỹ Trinh. Hướng nghiên cứu của cô ấy bao gồm nhiều chủ đề liên quan đến lĩnh vực Quản trị kinh doanh và Công nghệ, như mô hình kinh doanh nền tảng kỹ thuật số, quá trình đồng sáng tạo trên thương mại xã hội và thương mại di động, văn hóa kỹ thuật số, ứng dụng trò chơi hóa để nâng cao năng suất, di động trực tuyến, sự sáng tạo và hành vi đổi mới, khả năng kỹ thuật số để nâng cao hiệu suất kinh doanh và hoạt động quốc tế."
6,Tổng quan về câu lạc bộ âm nhạc IShuffle của trường,"Tổng quan về câu lạc bộ âm nhạc IShuffle của trường:

ISHUFFLE là câu lạc bộ âm nhạc của trường, với tên tiếng Việt là Câu lạc bộ Âm nhạc ISHUFFLE và tên tiếng Anh là ISHUFFLE Music Club. Lĩnh vực hoạt động chính là âm nhạc, bao gồm ca hát, guitar, piano, drum và rap. ISHUFFLE cố gắng tạo ra các sân chơi cho những bạn trẻ đam mê âm nhạc, kết nối các thành viên thành một ""gia đình"" đoàn kết và trân trọng tài năng âm nhạc trẻ. Trang fanpage của câu lạc bộ là https://www.facebook.com/ishuffleband."
7,Tổng quan về câu lạc bộ nhảy hiện đại IStep,"IStep là một câu lạc bộ nhảy hiện đại được thành lập vào ngày 13/01/2008 tại Trường Quốc tế Đại học Quốc Gia Hà Nội. Nhảy hiện đại là thể loại nhảy với âm nhạc sôi động, vũ đạo mạnh mẽ, uyển chuyển và không kém phần nóng bỏng, thể hiện rõ cái tôi cá nhân. Câu lạc bộ IStep tập trung vào lĩnh vực nhảy hiện đại như Cover dance Kpop, Hiphop, Flashmob, Sexy dance, Breaking dance và mục tiêu là trở thành một câu lạc bộ lớn mạnh, có thể tham gia nhiều sân chơi, sàn đấu trên toàn quốc."
8,Địa chỉ liên hệ khi gặp vấn đề về các thủ tục hành chính,"Khi gặp vấn đề về các thủ tục hành chính, bạn có thể liên hệ theo địa chỉ sau:

- Phòng Công tác sinh viên, P.303C, Làng sinh viên Hacinco
- Hotline: 086 296 6068"
9,Một số đề tài của TS. Chu Đình Tới là gì?,"Một số đề tài của TS. Chu Đình Tới là:

1. NAFOSTED (No. 106.02-2019.314). Studying the expression and variation of some important biomarkers on mouse adipose tissues, 4/2020-4/2023

2. Nanjing Agricultural University (Grant number: 2018-AH-04) International Cooperation Seeds Funding of Nanjing Agricultural University, 10/2018-10/2019

3. NAFOSTED (No. 106.02-2019.41). Building a platform for engineering highly active antimicrobial peptides based on molecular dynamics simulation of the peptide-membrane interaction, Member, 04/2019-04/2021"
